"name","run.no.in.std.order","run.no","run.no.std.rp","size","threads","version","optimization","time"
"322","582",322,"582.1","724","2","3.7.1","O3",""
"323","664",323,"664.1","1448","8","3.9.0","O3",""
"324","231",324,"231.1","1024","8","3.7.0","O1",""
"325","397",325,"397.1","512","8","3.7.0","O2",""
"326","443",326,"443.1","1024","4","3.8.0","O2",""
"327","83",327,"83.1","1024","4","3.7.1","O0",""
"328","366",328,"366.1","724","2","3.6.2","O2",""
"329","588",329,"588.1","1448","4","3.7.1","O3",""
"330","275",330,"275.1","1024","4","3.8.0","O1",""
"331","586",331,"586.1","724","4","3.7.1","O3",""
"332","21",332,"21.1","512","32","3.5.1","O0",""
"333","400",333,"400.1","1448","8","3.7.0","O2",""
"334","31",334,"31.1","1024","2","3.6.2","O0",""
"335","465",335,"465.1","512","4","3.8.1","O2",""
"336","107",336,"107.1","1024","4","3.8.0","O0",""
"337","152",337,"152.1","1448","2","3.9.0","O0",""
"338","363",338,"363.1","1024","1","3.6.2","O2",""
"339","561",339,"561.1","512","4","3.7.0","O3",""
"340","88",340,"88.1","1448","8","3.7.1","O0",""
"341","624",341,"624.1","1448","32","3.8.0","O3",""
"342","560",342,"560.1","1448","2","3.7.0","O3",""
"343","655",343,"655.1","1024","2","3.9.0","O3",""
"344","519",344,"519.1","1024","8","3.5.1","O3",""
"345","408",345,"408.1","1448","32","3.7.0","O2",""
"346","503",346,"503.1","1024","32","3.9.0","O2",""
"347","228",347,"228.1","1448","4","3.7.0","O1",""
"348","622",348,"622.1","724","32","3.8.0","O3",""
"349","534",349,"534.1","724","2","3.6.2","O3",""
"350","542",350,"542.1","724","8","3.6.2","O3",""
"351","163",351,"163.1","1024","16","3.9.0","O0",""
"352","418",352,"418.1","724","4","3.7.1","O2",""
"353","573",353,"573.1","512","32","3.7.0","O3",""
"354","359",354,"359.1","1024","32","3.5.1","O2",""
"355","79",355,"79.1","1024","2","3.7.1","O0",""
"356","665",356,"665.1","512","16","3.9.0","O3",""
"357","245",357,"245.1","512","2","3.7.1","O1",""
"358","255",358,"255.1","1024","8","3.7.1","O1",""
"359","382",359,"382.1","724","32","3.6.2","O2",""
"360","496",360,"496.1","1448","8","3.9.0","O2",""
"361","202",361,"202.1","724","4","3.6.2","O1",""
"362","552",362,"552.1","1448","32","3.6.2","O3",""
"363","520",363,"520.1","1448","8","3.5.1","O3",""
"364","374",364,"374.1","724","8","3.6.2","O2",""
"365","197",365,"197.1","512","2","3.6.2","O1",""
"366","94",366,"94.1","724","32","3.7.1","O0",""
"367","157",367,"157.1","512","8","3.9.0","O0",""
"368","447",368,"447.1","1024","8","3.8.0","O2",""
"369","33",369,"33.1","512","4","3.6.2","O0",""
"370","445",370,"445.1","512","8","3.8.0","O2",""
"371","453",371,"453.1","512","32","3.8.0","O2",""
"372","69",372,"69.1","512","32","3.7.0","O0",""
"373","249",373,"249.1","512","4","3.7.1","O1",""
"374","508",374,"508.1","1448","1","3.5.1","O3",""
"375","581",375,"581.1","512","2","3.7.1","O3",""
"376","370",376,"370.1","724","4","3.6.2","O2",""
"377","536",377,"536.1","1448","2","3.6.2","O3",""
"378","543",378,"543.1","1024","8","3.6.2","O3",""
"379","642",379,"642.1","724","16","3.8.1","O3",""
"380","301",380,"301.1","512","8","3.8.1","O1",""
"381","90",381,"90.1","724","16","3.7.1","O0",""
"382","35",382,"35.1","1024","4","3.6.2","O0",""
"383","298",383,"298.1","724","4","3.8.1","O1",""
"384","511",384,"511.1","1024","2","3.5.1","O3",""
"385","347",385,"347.1","1024","4","3.5.1","O2",""
"386","115",386,"115.1","1024","16","3.8.0","O0",""
"387","485",387,"485.1","512","2","3.9.0","O2",""
"388","121",388,"121.1","512","1","3.8.1","O0",""
"389","662",389,"662.1","724","8","3.9.0","O3",""
"390","535",390,"535.1","1024","2","3.6.2","O3",""
"391","364",391,"364.1","1448","1","3.6.2","O2",""
"392","509",392,"509.1","512","2","3.5.1","O3",""
"393","540",393,"540.1","1448","4","3.6.2","O3",""
"394","62",394,"62.1","724","8","3.7.0","O0",""
"395","22",395,"22.1","724","32","3.5.1","O0",""
"396","385",396,"385.1","512","1","3.7.0","O2",""
"397","215",397,"215.1","1024","32","3.6.2","O1",""
"398","41",398,"41.1","512","16","3.6.2","O0",""
"399","313",399,"313.1","512","1","3.9.0","O1",""
"400","9",400,"9.1","512","4","3.5.1","O0",""
"401","293",401,"293.1","512","2","3.8.1","O1",""
"402","590",402,"590.1","724","8","3.7.1","O3",""
"403","176",403,"176.1","1448","2","3.5.1","O1",""
